984553 function calls (853132 primitive calls) in 0.388 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 matrixbase.py:135(shape)
       18    0.000    0.000    0.000    0.000 function.py:1766(<genexpr>)
        4    0.000    0.000    0.000    0.000 _init_.py:673(update)
       14    0.000    0.000    0.000    0.000 mul.py:2141(_keep_coeff)
       18    0.000    0.000    0.000    0.000 numbers.py:3547(_eq_)
       20    0.000    0.000    0.000    0.000 trigonometric.py:533(_eval_is_extended_real)
        3    0.000    0.000    0.000    0.000 matrixbase.py:677(from_dok)
        4    0.000    0.000    0.001    0.000 repmatrix.py:359(_eval_scalar_mul)
       14    0.000    0.000    0.000    0.000 exponential.py:925(_eval_is_extended_real)
        1    0.000    0.000    0.000    0.000 matexpr.py:571(contract_one_dims)
        1    0.000    0.000    0.094    0.094 array_derivatives.py:81(_dispatch_eval_derivative_n_times)
       10    0.000    0.000    0.000    0.000 symbol.py:520(_hashable_content)
        6    0.000    0.000    0.000    0.000 sdm.py:1447(unop_dict)
       60    0.000    0.000    0.000    0.000 simplify.py:422(<lambda>)
       18    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
       78    0.000    0.000    0.000    0.000 <frozen collections_abc>:439(subclasshook_)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:765(unify)
        5    0.000    0.000    0.000    0.000 sdm.py:333(to_list_flat)
        4    0.000    0.000    0.000    0.000 _init.py:599(init_)
        1    0.000    0.000    0.097    0.097 matrixbase.py:3393(diff)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 expr.py:149(sort_key)
        5    0.000    0.000    0.000    0.000 domainmatrix.py:1603(_scalarmul)
        2    0.000    0.000    0.031    0.015 matrixbase.py:2488(<lambda>)
        1    0.000    0.000    0.000    0.000 numbers.py:1138(_Frel)
       12    0.000    0.000    0.000    0.000 basic.py:1115(sympify_new)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:1391(add)
        1    0.000    0.000    0.000    0.000 basic.py:447(sort_key)
        4    0.000    0.000    0.000    0.000 sdm.py:823(mul)
        3    0.000    0.000    0.126    0.042 matrixbase.py:2086(applyfunc)
        3    0.000    0.000    0.000    0.000 repmatrix.py:245(_eval_from_dok)
        3    0.000    0.000    0.000    0.000 basic.py:1386(has)
       15    0.000    0.000    0.000    0.000 trigonometric.py:894(_eval_is_extended_real)
        6    0.000    0.000    0.000    0.000 functools.py:841(dispatch)
       28    0.000    0.000    0.000    0.000 <frozen collections_abc>:345(subclasshook_)
        5    0.000    0.000    0.000    0.000 trigonometric.py:542(_eval_is_zero)
        3    0.000    0.000    0.000    0.000 sdm.py:854(add)
        3    0.000    0.000    0.000    0.000 repmatrix.py:242(_eval_todok)
        4    0.000    0.000    0.000    0.000 mul.py:190(_neg_)
        3    0.000    0.000    0.000    0.000 repmatrix.py:348(_eval_add)
        1    0.000    0.000    0.094    0.094 expr.py:3984(_eval_derivative_matrix_lines)
        6    0.000    0.000    0.000    0.000 functools.py:927(wrapper)
        2    0.000    0.000    0.000    0.000 domainmatrix.py:1166(transpose)
        4    0.000    0.000    0.000    0.000 <frozen collections_abc>:292(subclasshook_)
        4    0.000    0.000    0.000    0.000 domainmatrix.py:1520(mul)
        1    0.000    0.000    0.097    0.097 array_derivatives.py:18(_new_)
        8    0.000    0.000    0.000    0.000 domainmatrix.py:552(to_sympy)
        4    0.000    0.000    0.001    0.000 numbers.py:1483(_truediv_)
        3    0.000    0.000    0.001    0.000 matrixbase.py:3042(_sub_)
        2    0.000    0.000    0.000    0.000 domainmatrix.py:744(<lambda>)
        2    0.000    0.000    0.000    0.000 sdm.py:1460(sdm_transpose)
       15    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 evalf.py:1455(evalf)
        2    0.000    0.000    0.000    0.000 sdm.py:731(transpose)
        2    0.000    0.000    0.000    0.000 special.py:119(_new_)
        1    0.000    0.000    0.000    0.000 dense.py:59(as_immutable)
       19    0.000    0.000    0.000    0.000 repmatrix.py:186(<genexpr>)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:1334(_add_)
        2    0.000    0.000    0.000    0.000 matrixbase.py:1188(zeros)
       28    0.000    0.000    0.000    0.000 numbers.py:1418(_hashable_content)
        1    0.000    0.000    0.094    0.094 matexpr.py:531(_matrix_derivative)
        2    0.000    0.000    0.002    0.001 matrixbase.py:2407(<lambda>)
        1    0.000    0.000    0.094    0.094 matrixbase.py:3421(_eval_derivative)
        7    0.000    0.000    0.000    0.000 basic.py:135(_get_postprocessors)
        2    0.000    0.000    0.000    0.000 libmpf.py:291(from_man_exp)
        3    0.000    0.000    0.000    0.000 sdm.py:505(to_dok)
       50    0.000    0.000    0.000    0.000 traversal.py:163(_iter_)
        1    0.000    0.000    0.388    0.388 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 numbers.py:924(_new)
        2    0.000    0.000    0.000    0.000 repmatrix.py:249(_eval_values)
        1    0.000    0.000    0.000    0.000 matexpr.py:804(build)
        2    0.000    0.000    0.094    0.047 matrixbase.py:3422(<lambda>)
        8    0.000    0.000    0.000    0.000 sorting.py:191(<genexpr>)
        2    0.000    0.000    0.000    0.000 numbers.py:150(mpf_norm)
        6    0.000    0.000    0.000    0.000 matrixbase.py:5332(classof)
        1    0.000    0.000    0.031    0.031 matrixbase.py:2469(subs)
       10    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 libmpf.py:330(from_int)
        4    0.000    0.000    0.000    0.000 sdm.py:837(<lambda>)
        4    0.000    0.000    0.000    0.000 matrixbase.py:5305(_coerce_operand)
        6    0.000    0.000    0.000    0.000 weakref.py:414(_getitem_)
       17    0.000    0.000    0.000    0.000 expr.py:3570(as_coeff_Mul)
        4    0.000    0.000    0.000    0.000 basic.py:1139(<lambda>)
        1    0.000    0.000    0.000    0.000 numbers.py:1167(_gt_)
        4    0.000    0.000    0.001    0.000 matrixbase.py:2883(_neg_)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 basic.py:147(_get_postprocessors_for_type)
        4    0.000    0.000    0.001    0.000 numbers.py:498(_truediv_)
        4    0.000    0.000    0.000    0.000 <frozen collections_abc>:313(subclasshook_)
       10    0.000    0.000    0.000    0.000 expr.py:2154(as_content_primitive)
       29    0.000    0.000    0.000    0.000 boolalg.py:440(_bool_)
        1    0.000    0.000    0.000    0.000 matrixbase.py:3004(rmultiply)
        4    0.000    0.000    0.000    0.000 domainmatrix.py:1613(scalarmul)
        6    0.000    0.000    0.000    0.000 matrixbase.py:1319(<genexpr>)
        1    0.000    0.000    0.000    0.000 repmatrix.py:363(_eval_scalar_rmul)
        1    0.000    0.000    0.000    0.000 libmpf.py:636(mpf_gt)
       10    0.000    0.000    0.000    0.000 integerring.py:54(_eq_)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:1377(_check)
        4    0.000    0.000    0.000    0.000 libmpf.py:153(_normalize)
        1    0.000    0.000    0.000    0.000 libmpf.py:64(dps_to_prec)
        2    0.000    0.000    0.000    0.000 assumptions.py:389(check_assumptions)
        1    0.000    0.000    0.000    0.000 intfunc.py:162(igcd)
        2    0.000    0.000    0.000    0.000 sdm.py:910(convert_to)
        2    0.000    0.000    0.000    0.000 dense.py:1078(zeros)
        3    0.000    0.000    0.000    0.000 matrixbase.py:664(todok)
        2    0.000    0.000    0.000    0.000 matexpr.py:81(_new_)
        4    0.000    0.000    0.000    0.000 {built-in method _operator.pos}
        1    0.000    0.000    0.000    0.000 matrixbase.py:3000(_rmul_)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:1059(to_dok)
        3    0.000    0.000    0.000    0.000 from_array_to_matrix.py:552(convert_array_to_matrix)
        2    0.000    0.000    0.000    0.000 function.py:1734(_subset)
        5    0.000    0.000    0.000    0.000 domainmatrix.py:882(to_list_flat)
        6    0.000    0.000    0.000    0.000 domainmatrix.py:745(<genexpr>)
        2    0.000    0.000    0.000    0.000 repmatrix.py:338(_eval_zeros)
        4    0.000    0.000    0.000    0.000 <frozen collections_abc>:392(subclasshook_)
        1    0.000    0.000    0.000    0.000 numbers.py:400(_eval_evalf)
        4    0.000    0.000    0.000    0.000 mul.py:831(as_coeff_mul)
        3    0.000    0.000    0.000    0.000 domainmatrix.py:747(_unify_fmt)
        6    0.000    0.000    0.000    0.000 sdm.py:559(iter_values)
        1    0.000    0.000    0.002    0.002 matrixbase.py:2375(replace)
        2    0.000    0.000    0.000    0.000 matexpr.py:236(_check_dim)
        2    0.000    0.000    0.000    0.000 matrixbase.py:1399(free_symbols)
        1    0.000    0.000    0.094    0.094 array_derivatives.py:62(_call_derive_matrix_by_scalar)
        2    0.000    0.000    0.000    0.000 domainmatrix.py:3789(zeros)
        1    0.000    0.000    0.000    0.000 numbers.py:1318(_new_)
        7    0.000    0.000    0.000    0.000 matexpr.py:566(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.add}
        2    0.000    0.000    0.000    0.000 numbers.py:1973(_ge_)
        7    0.000    0.000    0.000    0.000 repmatrix.py:201(<genexpr>)
        2    0.000    0.000    0.000    0.000 repmatrix.py:307(_eval_transpose)
        1    0.000    0.000    0.000    0.000 matrixbase.py:5369(_unify_with_other)
        2    0.000    0.000    0.000    0.000 domain.py:717(unify)
        1    0.000    0.000    0.000    0.000 dense.py:65(as_mutable)
        2    0.000    0.000    0.000    0.000 repmatrix.py:252(_eval_iter_values)
        1    0.000    0.000    0.000    0.000 libmpf.py:574(mpf_cmp)
       17    0.000    0.000    0.000    0.000 expr.py:1021(_eval_power)
        1    0.000    0.000    0.000    0.000 numbers.py:1785(_as_mpf_val)
        2    0.000    0.000    0.000    0.000 basic.py:424(fromiter)
        4    0.000    0.000    0.000    0.000 domain.py:368(_hash_)
        2    0.000    0.000    0.000    0.000 matrixbase.py:1973(values)
        7    0.000    0.000    0.000    0.000 immutable.py:50(cols)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 basic.py:468(inner_key)
        1    0.000    0.000    0.000    0.000 domainmatrix.py:1616(rscalarmul)
        2    0.000    0.000    0.000    0.000 matrixbase.py:2508(transpose)
        1    0.000    0.000    0.000    0.000 repmatrix.py:566(_new_)
        4    0.000    0.000    0.000    0.000 {function Counter.update at 0x0000016562B6E660}
        1    0.000    0.000    0.000    0.000 libmpf.py:884(python_mpf_mul)
        4    0.000    0.000    0.000    0.000 numbers.py:3423(_eq_)
        8    0.000    0.000    0.000    0.000 function.py:848(_diff_wrt)
        2    0.000    0.000    0.000    0.000 trigonometric.py:898(_eval_is_finite)
        5    0.000    0.000    0.000    0.000 immutable.py:54(rows)
        1    0.000    0.000    0.000    0.000 basic.py:149(<genexpr>)
        2    0.000    0.000    0.000    0.000 sdm.py:668(zeros)
        1    0.000    0.000    0.000    0.000 immutable.py:15(sympify_matrix)
        1    0.000    0.000    0.000    0.000 utilities.py:51(_get_intermediate_simp_bool)
        3    0.000    0.000    0.000    0.000 matexpr.py:560(_get_shape)
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 expr.py:2514(could_extract_minus_sign)
        2    0.000    0.000    0.000    0.000 domainmatrix.py:1104(iter_values)
        2    0.000    0.000    0.000    0.000 matrixbase.py:2543(T)
        1    0.000    0.000    0.000    0.000 matexpr.py:565(get_rank)
        1    0.000    0.000    0.000    0.000 libmpf.py:692(mpf_sign)
        1    0.000    0.000    0.000    0.000 evalf.py:490(evalf_integer)
        2    0.000    0.000    0.000    0.000 integerring.py:69(from_sympy)
        3    0.000    0.000    0.000    0.000 matexpr.py:792(_build)
        3    0.000    0.000    0.000    0.000 basic.py:442(class_key)
        1    0.000    0.000    0.000    0.000 numbers.py:1982(_le_)
        1    0.000    0.000    0.000    0.000 repmatrix.py:236(flat)
        7    0.000    0.000    0.000    0.000 basic.py:1288(_eval_subs)
        2    0.000    0.000    0.000    0.000 integerring.py:61(_hash_)
        1    0.000    0.000    0.000    0.000 utilities.py:30(_get_intermediate_simp)
        2    0.000    0.000    0.000    0.000 matrixbase.py:3681(_len_)
        1    0.000    0.000    0.000    0.000 repmatrix.py:53(_eq_)
        1    0.000    0.000    0.000    0.000 matexpr.py:753(_init_)
        1    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:1999(_eval_is_odd)
        2    0.000    0.000    0.000    0.000 numbers.py:2905(_neg_)
        6    0.000    0.000    0.000    0.000 basic.py:2260(doit)
        4    0.000    0.000    0.000    0.000 expr.py:217(_pos_)
        1    0.000    0.000    0.000    0.000 {built-in method math.gcd}
        1    0.000    0.000    0.000    0.000 basic.py:938(_sorted_args)
        1    0.000    0.000    0.000    0.000 lagrange.py:506(forcelist)
        3    0.000    0.000    0.000    0.000 from_array_to_matrix.py:193(_array2matrix)
        1    0.000    0.000    0.000    0.000 immutable.py:58(shape)
        2    0.000    0.000    0.000    0.000 lagrange.py:494(q)
        3    0.000    0.000    0.000    0.000 from_array_to_matrix.py:344(_remove_trivial_dims)
